Spotting ID,Bee Spotter,Date Added to Site,Year Added to Site,Month Added to Site,Day Added to Site,Number of Days Between Site Launch and Date Added to Site,Title,Date Spotted,Year Spotted,Month Spotted,Day Spotted,Number of Days Between Site Launch and Date Spotted,Number of Days Between Date Spotted and Date Added to Site,Latitude,Longitude,Amateur Species Identification,Expert Species Identification (Primary),Expert Species Identification (Secondary),Protected Species?,Location Obscured?,Gender,Spotting URL
1092,Gretchen,1/24/2009,2009,1,24,473,Bee in DeKalb,6/20/2003,2003,6,20,-1572,2045,41.9183499,-88.7589572,,Apis mellifera,,f,f,,https://beespotter.org/bee/1092
132,bmovie,11/22/2007,2007,11,22,44,Tomato Garden Bee,9/2/2004,2004,9,2,-1132,1176,38.5472592,-90.01793861,,Bombus impatiens,,f,f,,https://beespotter.org/bee/132
327,aurthur2sheds,6/26/2008,2008,6,26,261,map_test_trial,7/12/2005,2005,7,12,-819,1080,40.33271556,-88.76796484,,Bombus griseocollis,,f,f,female,https://beespotter.org/bee/327
403,HaarFager,7/7/2008,2008,7,7,272,Bombus Impatiens 1,4/19/2006,2006,4,19,-538,810,37.9806717,-88.33265305,,Bombus impatiens,,f,f,female,https://beespotter.org/bee/403
213,CityEcology,5/2/2008,2008,5,2,206,BB 20060504,5/4/2006,2006,5,4,-523,729,39.30720642,-76.55239105,Bombus impatiens,Bombus impatiens,,f,f,,https://beespotter.org/bee/213
2744,almostincognito,10/29/2012,2012,10,29,1847,bumble1,5/31/2006,2006,5,31,-496,2343,41.675606,-88.197355,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,https://beespotter.org/bee/2744
1203,dfsears,7/2/2009,2009,7,2,632,Back to the Hive,6/6/2006,2006,6,6,-490,1122,40.0959352,-88.219043,Bombus griseocollis,Bombus griseocollis,,f,f,female,https://beespotter.org/bee/1203
218,CityEcology,5/2/2008,2008,5,2,206,BB 20070611,6/11/2006,2006,6,11,-485,691,39.30959722,-76.54792786,Bombus auricomus,Bombus auricomus,,f,f,,https://beespotter.org/bee/218
2745,almostincognito,10/29/2012,2012,10,29,1847,Bumble2,7/27/2006,2006,7,27,-439,2286,41.84322233,-88.06125641,Bombus auricomus,Bombus griseocollis,,f,f,female,https://beespotter.org/bee/2745
1315,evelyne,8/9/2009,2009,8,9,670,2/2006,9/9/2006,2006,9,9,-395,1065,38.473207,-90.376915,Apis mellifera,Apis mellifera,,f,f,female,https://beespotter.org/bee/1315
404,HaarFager,7/8/2008,2008,7,8,273,Bombus Impatiens Mating Pair,10/1/2006,2006,10,1,-373,646,37.9805364,-88.334198,,Bombus impatiens,,f,f,,https://beespotter.org/bee/404
139,Steve_Scott,12/14/2007,2007,12,14,66,Apis mellifera,3/25/2007,2007,3,25,-198,264,38.38203645,-88.31514359,,Apis mellifera,,f,f,,https://beespotter.org/bee/139
214,CityEcology,5/2/2008,2008,5,2,206,BB 20070506,5/6/2007,2007,5,6,-156,362,39.3094644,-76.553936,Bombus impatiens,Bombus impatiens,,f,f,female,https://beespotter.org/bee/214
1321,evelyne,8/10/2009,2009,8,10,671,4/2007,5/21/2007,2007,5,21,-141,812,38.473207,-90.376915,Bombus griseocollis,Bombus griseocollis,,f,f,female,https://beespotter.org/bee/1321
215,CityEcology,5/2/2008,2008,5,2,206,BB 20070522,5/22/2007,2007,5,22,-140,346,39.30999568,-76.54827118,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,https://beespotter.org/bee/215
1314,evelyne,8/9/2009,2009,8,9,670,1/2007,5/26/2007,2007,5,26,-136,806,38.473207,-90.376915,Bombus bimaculatus,Bombus impatiens,,f,f,female,https://beespotter.org/bee/1314
1316,evelyne,8/9/2009,2009,8,9,670,2/2007,5/29/2007,2007,5,29,-133,803,38.473207,-90.376915,Apis mellifera,Apis mellifera,,f,f,female,https://beespotter.org/bee/1316
