Generation,Max Fit,Mean Fit,Mean Links,Max Links
1,1.994,1.051,6.0,10
2,3.631,1.221,4.0,7
3,3.631,1.134,4.0,7
4,3.631,1.61,6.0,16
5,5.443,1.793,4.0,7
6,5.443,1.542,3.0,7
7,5.443,1.096,4.0,14
8,5.443,2.449,6.0,13
9,6.576,2.102,5.0,10
10,6.576,2.752,6.0,10
11,8.362,4.265,12.0,25
12,8.362,1.86,8.0,16
13,8.362,2.268,9.0,19
14,8.362,2.028,15.0,40
15,8.362,1.612,14.0,31
16,8.362,1.57,10.0,16
17,8.362,2.144,10.0,22
18,8.362,2.331,9.0,17
19,8.362,2.231,11.0,22
20,8.362,2.977,10.0,22
21,8.362,1.945,11.0,22
22,8.362,2.533,11.0,22
23,8.362,2.09,14.0,27
24,8.362,2.762,14.0,28
25,8.892,2.862,16.0,28
26,8.892,2.183,15.0,28
27,8.892,2.664,15.0,28
28,8.892,2.349,11.0,28
29,8.892,1.925,12.0,28
30,8.892,2.215,15.0,28
31,8.892,2.631,14.0,28
32,8.892,2.485,14.0,28
33,8.892,2.845,16.0,40
34,8.892,3.015,13.0,28
35,8.892,3.446,19.0,28
36,8.892,2.618,23.0,40
37,8.892,2.969,18.0,31
38,8.892,3.951,20.0,31
39,8.892,3.214,16.0,46
40,8.892,4.833,18.0,28
41,8.892,2.519,12.0,28
42,8.892,2.718,14.0,28
43,8.892,4.738,18.0,28
44,8.892,2.506,13.0,28
45,8.892,2.67,13.0,28
46,8.892,3.373,13.0,34
47,8.892,3.466,16.0,28
48,8.892,2.549,14.0,28
49,8.892,2.594,15.0,29
50,8.892,2.821,16.0,28
51,8.892,2.48,15.0,28
52,8.892,2.489,15.0,28
53,8.899,3.519,20.0,28
54,8.899,3.069,25.0,40
55,8.899,2.409,22.0,40
56,8.899,1.814,15.0,28
57,8.899,2.454,16.0,28
58,8.899,2.492,17.0,28
59,8.899,2.27,11.0,28
60,8.899,1.648,13.0,31
61,8.899,2.709,16.0,28
62,8.899,2.743,20.0,30
63,8.899,1.979,17.0,28
64,8.899,1.637,21.0,40
65,8.899,3.244,22.0,29
66,8.899,2.794,19.0,29
67,8.899,2.105,16.0,28
68,8.899,2.657,20.0,28
69,8.899,2.198,19.0,28
70,8.899,2.669,22.0,37
71,8.899,2.405,19.0,30
72,8.899,3.274,30.0,82
73,8.899,3.659,25.0,46
74,11.102,4.095,26.0,46
75,11.102,2.767,20.0,46
76,11.102,2.534,24.0,46
77,11.102,2.686,26.0,81
78,11.102,2.385,11.0,37
79,11.102,3.543,18.0,57
80,11.102,3.612,31.0,93
81,11.102,1.961,32.0,106
82,11.102,1.906,25.0,106
83,11.102,3.071,15.0,32
84,11.102,2.273,31.0,94
85,11.102,2.241,32.0,100
86,11.102,2.458,21.0,37
87,11.102,1.981,20.0,46
88,11.102,3.27,28.0,58
89,11.102,1.826,25.0,57
90,11.102,2.416,19.0,31
91,11.102,3.11,20.0,37
92,11.102,2.096,25.0,85
93,11.102,2.537,23.0,61
94,11.102,3.887,20.0,28
95,11.102,2.38,25.0,58
96,11.102,1.599,24.0,58
97,11.102,2.252,31.0,85
98,11.102,2.672,18.0,27
99,11.102,2.621,22.0,39
100,11.102,2.431,22.0,37
